event_id,event_type,product_id,user_id,event_timestamp,quantity,price
7634339a-7052-447e-a020-1cab345b3a10,click,PROD-087,USER-0840,2026-01-09 15:03:42,,
d6877346-c801-4f8b-a7a7-102461d38c34,click,PROD-057,USER-0040,2026-01-09 15:03:42,,
410efafe-83a6-4cfd-80ce-9429101120b9,add_to_cart,PROD-013,USER-0574,2026-01-09 15:03:42,,
f02d48b4-68ae-4309-98aa-f53b6429b0bc,purchase,PROD-068,USER-0862,2026-01-09 15:03:42,5,478.04
e355e821-313c-4bd3-819d-5c1910658669,view,PROD-047,USER-0023,2026-01-09 15:03:42,,
f782f15f-da9e-4055-bf9c-6f6f0725e8a0,purchase,PROD-031,USER-0473,2026-01-09 15:03:42,3,314.4
3475f0a1-dba2-4ff8-960b-d4a025118bda,purchase,PROD-050,USER-0264,2026-01-09 15:03:42,5,232.86
47688117-530d-455d-acbb-c70a3e3ad552,add_to_cart,PROD-035,USER-0217,2026-01-09 15:03:42,,
77cac951-cd74-4e6a-9fdb-ea550a379265,click,PROD-026,USER-0099,2026-01-09 15:03:42,,
ed2968d2-7936-40cb-87bc-60e6bd03f204,purchase,PROD-017,USER-0512,2026-01-09 15:03:42,5,431.91
ac7f7ec7-6e65-4a6c-aaab-a8160cef4eb2,click,PROD-065,USER-0224,2026-01-09 15:03:42,,
9998948b-42ec-41cc-97ef-25637dd4b1a4,view,PROD-096,USER-0079,2026-01-09 15:03:42,,
eb322225-feb9-4f85-98a5-3b240dbcb705,add_to_cart,PROD-053,USER-0489,2026-01-09 15:03:42,,
b5c40bc3-2b05-4e97-8a38-2bc8a910f565,view,PROD-094,USER-0924,2026-01-09 15:03:42,,
8fd4f118-6a86-4ea2-9f1f-97e42988bcaa,click,PROD-021,USER-0456,2026-01-09 15:03:42,,
ae329ec5-fa4d-43bb-9dd4-4d07457f4a54,add_to_cart,PROD-003,USER-0616,2026-01-09 15:03:42,,
7536958e-9d31-4b9b-9ecc-2053c4bd7336,add_to_cart,PROD-072,USER-0193,2026-01-09 15:03:42,,
e88501ac-854d-48a9-9d59-3a24854bf276,click,PROD-094,USER-0341,2026-01-09 15:03:42,,
c3cdc3bb-dd9b-4ca6-b6e3-9c69084c08ad,add_to_cart,PROD-054,USER-0901,2026-01-09 15:03:42,,
d94df43f-1376-4693-b5a8-eb0e15b3b669,add_to_cart,PROD-054,USER-0248,2026-01-09 15:03:42,,
7817057d-656e-4850-b195-6a14f2432ad6,add_to_cart,PROD-066,USER-0122,2026-01-09 15:03:42,,
e1fb0b4c-a02f-4ccd-93fa-3a6e8e6da799,add_to_cart,PROD-013,USER-0353,2026-01-09 15:03:42,,
5f09323e-7c49-422c-a5ac-f8bb8bb1a46d,purchase,PROD-080,USER-0737,2026-01-09 15:03:42,3,199.81
7d088f47-e91a-4045-8fbf-3e4557d29c7d,add_to_cart,PROD-007,USER-0312,2026-01-09 15:03:42,,
309d39c1-c2e2-48dc-ab12-2ddacdcf07ec,purchase,PROD-006,USER-0140,2026-01-09 15:03:42,4,64.88
211c6480-d3d5-423e-91c2-74202de90f84,view,PROD-098,USER-0378,2026-01-09 15:03:42,,
c6e3e180-afd2-4083-8931-be886d1f5c18,add_to_cart,PROD-095,USER-0106,2026-01-09 15:03:42,,
69a1a132-3451-4f8e-9a51-49f276342bcc,view,PROD-022,USER-0819,2026-01-09 15:03:42,,
cf4314e9-6f77-4622-9c7c-18ef60ce287e,purchase,PROD-010,USER-0965,2026-01-09 15:03:42,1,262.73
