event_id,event_type,product_id,user_id,event_timestamp,quantity,price
75737c24-f215-4a8f-acf5-a494d1de24ba,add_to_cart,PROD-016,USER-0123,2026-01-09 15:03:46,,
d3b13af2-46d3-4151-abe6-0feac3d5e6c4,purchase,PROD-072,USER-0952,2026-01-09 15:03:46,5,205.97
4610b3a4-c0cc-4d13-902f-e4d1462f66f0,click,PROD-035,USER-0292,2026-01-09 15:03:46,,
6b5036b7-d68d-495a-993f-e78726460942,add_to_cart,PROD-036,USER-0367,2026-01-09 15:03:46,,
08296432-40db-4e6b-8f21-a99436aaebae,add_to_cart,PROD-022,USER-0495,2026-01-09 15:03:46,,
fc2caf1b-5710-406c-8998-ed702b9668ef,click,PROD-049,USER-0976,2026-01-09 15:03:46,,
fcb9b45f-0d07-4464-8b08-82b4a69768d5,view,PROD-071,USER-0044,2026-01-09 15:03:46,,
96a14837-46a0-4a33-9d50-40d5df565395,purchase,PROD-048,USER-0515,2026-01-09 15:03:46,3,335.53
449753ba-5bd5-4142-a4bf-c63ea4c309c5,purchase,PROD-083,USER-0485,2026-01-09 15:03:46,3,449.96
eb71bd2d-54a4-4eda-b591-8aba00807953,purchase,PROD-025,USER-0053,2026-01-09 15:03:46,3,112.3
